#id lon lat MIH hmax period
id03717 81.200000 15.888000 0.52 0.18 1860
id03718 81.066700 15.785100 0.35 0.15 2648
id03719 80.943800 15.666700 1.14 0.29 783
id03720 80.769800 15.600000 0.86 0.26 1258
id03721 80.633300 15.600000 0.86 0.25 1118
id03722 80.500000 15.538900 0.83 0.24 1063
id03723 80.500000 15.389500 1.07 0.26 663
id03724 80.366700 15.345100 1.11 0.23 308
id03725 80.300000 15.177800 0.86 0.24 952
id03726 80.240000 15.000000 0.83 0.25 1338
id03727 80.214600 14.800000 0.83 0.25 1294
id03728 80.270500 14.633300 0.63 0.18 1133
id03729 80.300000 14.456400 1.02 0.23 61
id03730 80.276900 14.300000 0.87 0.23 847
id03731 80.366700 14.133300 0.95 0.24 701
id03732 80.337900 13.966700 0.55 0.18 1590
id03733 80.377800 13.766700 1.08 0.27 721
id03734 80.427800 13.566700 0.96 0.20 317
id03735 80.439800 13.366700 0.91 0.26 1025
id03736 80.417500 13.166700 0.95 0.23 881
id03737 80.412800 12.933300 1.27 0.27 420
id03738 80.420000 12.700000 1.12 0.27 892
id03739 80.466700 12.533300 0.86 0.23 922
id03740 80.466700 12.373300 0.93 0.24 799
id03741 80.355600 12.400000 0.91 0.22 622
id03742 80.333300 12.262200 0.89 0.23 773
id03743 80.200000 12.155000 1.09 0.22 337
id03744 80.067300 12.100000 0.80 0.23 1801
id03745 80.018900 11.933300 0.77 0.19 742
id03746 79.904600 11.800000 0.89 0.20 739
id03747 79.900000 11.659800 1.04 0.23 104
id03748 79.886000 11.500000 0.72 0.21 1150
id03749 79.922700 11.300000 0.69 0.20 1026
id03750 79.979200 11.133300 0.81 0.20 698
id03751 80.063300 10.966700 1.15 0.25 398
id03752 80.103000 10.800000 1.01 0.25 681
id03753 80.100000 10.633300 0.71 0.19 944
id03754 80.137000 10.433300 0.84 0.19 118
id03755 80.266700 10.300000 1.02 0.22 457
id03756 80.366700 10.175000 0.85 0.22 840
id03757 80.510100 10.100000 1.07 0.22 198
id03758 80.566700 9.933300 0.59 0.18 1307
